baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
6030.31,0,100,1191.84,3,3609.1,0.347984,20.0357,510.389,3,2258.42,0.0641215,0.142857,12.532,3,2170.34,0.0769939,1.0369,34.507,3,2500.13,0.0227048,6.84167,246.994,3,2948.04,0.0655508,8.44524,317.677,3,
9857.92,0.0584081,100,2505.71,3,3791.24,0.0508869,20.0357,508.041,3,2166.34,0,0.142857,8.28767,3,2315.1,0.14824,1.05119,33.9677,3,2087.39,0.110045,3.81667,293.136,3,3217.34,0.0488177,10.0952,331.344,3,
13114.5,0.197527,100,2659.69,4,3418.68,0.00715325,20.0357,480.923,3,1994.57,0.281627,0.142857,20.2777,3,1753.34,0.143395,1.0373,49.5997,3,1949.75,0.00172128,2.06429,101.297,3,2481.14,0,7.05476,131.4,3,
5657.38,0,100,1181.14,3,2818.23,0,20.0357,247.156,3,2093.54,0,0.142857,6.87567,3,2117.57,0,1.03571,17.2713,3,2406.14,0.000778897,2.09167,107.987,3,2541.06,0,9.7,154.229,3,
8998.94,0.0360689,100,2348.3,3,3375.9,0.0377264,20.0357,484.441,3,2064.33,0.172927,0.142857,11.374,3,2157.98,0.198977,1.07738,41.29,3,2686.23,0.00598726,3.0131,140.284,3,2775.57,0.00234373,8.83571,287.255,3,
12121.8,0.433338,100,3574.98,3,4298.45,0.499304,20.0357,538.374,4,1411.48,0.770161,0.142857,22.5437,3,1684.13,0.554012,1.06825,59.019,3,2297.31,0.448009,4.34524,219.613,3,2431.31,0.59308,6.675,284.968,3,
9956.21,0.110708,100,2681.81,3,3078.73,0,20.0357,275.136,3,2141.56,0.0625482,0.142857,14.9263,3,1902.06,0.315735,1.04167,37.297,3,2332.99,0.00337079,4.40476,208.024,3,2734.27,0.0389191,9.93929,363.288,3,
5782.43,0,100,1186.61,3,2896.31,0,20.0357,235.417,3,2192.69,0,0.142857,6.02,3,2216.85,0,1.03571,14.8887,3,2073.8,0.210961,2.29702,170.01,4,2600.29,0,9.38571,140.724,3,
13002.5,0.48245,100,2715.63,4,4297.21,0.296903,20.0357,550.676,4,1779.49,0.128699,0.142857,12.9493,3,1853.23,0.181969,1.03929,34.7607,3,2128.6,0.59784,2.87976,204.104,4,2615.72,0.208834,9.73452,288.899,3,
8551.85,0.718852,100,2362.75,3,3657.39,0.288549,20.0357,676.842,3,2312.89,0.800883,0.142857,16.4137,4,1990.32,0,1.03571,13.9627,3,2066.27,0,1.53095,32.555,3,2431.08,0.396096,6.96111,375.483,3,
5494.43,0.00297244,100,1099.31,3,3447.63,0.0926866,20.0357,452.643,3,2109.95,0,0.142857,7.58467,3,2224.84,0.311617,1.31667,50.7647,3,2276.48,0.0105034,5.29048,210.44,3,2899.09,0.14046,10.2107,296.957,3,
5715.86,0,100,1161.19,3,3571.81,0.0522536,20.0357,479.724,3,2052.38,0.165391,0.142857,12.4703,3,1836.77,0.0294343,1.04167,31.6917,3,2102.29,0.0141642,4.28095,171.677,3,3072.16,0.0229499,10.1036,334.656,3,
5350.72,0,100,1113.39,3,2646.1,0,20.0357,226.212,3,1978.14,0,0.142857,12.0257,3,2019.46,0,1.0381,17.337,3,1812.87,0.00229414,1.95119,83.0447,3,2430.51,0,8.65,155.759,3,
5551.6,0,100,1151.14,3,2770.66,0,20.0357,236.11,3,2068.78,0,0.142857,11.2243,3,2088.08,0,1.03571,15.961,3,2058.64,0.00132472,3.00357,140.363,3,2585.38,0,11.9095,178.596,3,
8181.56,0.113023,100,2084.23,3,3239.31,0.339637,20.0357,451.031,3,1861.22,0.324373,0.142857,12.5357,3,1950.03,0.527999,1.0369,31.51,3,2083.5,0,1.36429,33.5023,3,2557.26,0.601593,5.89405,229.319,3,
5088.57,0,100,1034.17,3,2588.83,0,20.0357,209.369,3,2259.73,0.282498,0.142857,18.055,4,1960.42,0,1.03571,14.0913,3,1891.21,0.00339004,1.56667,80.0643,3,2476.01,0,9.05714,172.705,3,
11952.2,0.625805,100,2479.22,4,2993.14,0.14837,20.0357,493.844,3,1638.48,0.0226945,0.142857,13.533,3,1820.67,0.268003,1.04762,35.8263,3,2040.74,0.0030157,3.36786,169.8,3,2563.99,0.0213578,7.12143,239.063,3,
5261.78,0,100,1072.05,3,2639.7,0,20.0357,221.839,3,1961.01,0,0.142857,6.50167,3,2002.75,0,1.03571,18.2063,3,1816.66,0.0130398,2.22738,91.4583,3,2380.49,0,9.05,139.394,3,
5711.4,0,100,1195.9,3,2804.69,0,20.0357,244.454,3,2075.84,0,0.142857,7.087,3,2104.79,0,1.03571,16.351,3,1800.23,0.000424364,2.18095,55.4593,3,2535.04,0,9.6881,157.671,3,
12705.7,0.264279,100,3752.97,3,2891.06,0,20.0357,250.814,3,2108.98,0,0.142857,6.94667,3,1656.06,0.437162,1.03651,53.202,3,1986.67,0.0170704,2.72024,119.203,3,2895.14,0.114481,10.8214,346.604,3,
9306.95,0.103276,100,2452.21,3,3497.84,0.0614141,20.0357,503.83,3,2016.96,0,0.142857,5.41733,3,1921.27,0.0644052,1.04167,33.7173,3,1799.21,0.0033182,2.02143,98.2333,3,2838.05,0.0613536,8.44881,280.789,3,
10429,0.380568,100,2986.01,3,4158.8,0.815576,20.0357,606.892,4,1468.12,0.626564,0.142857,21.9257,3,2035.81,0.513197,1.0373,32.7878,4,2051.17,0,1.1119,24.5983,3,2524.83,0.0840467,9.22857,292.769,3,
5585.48,0,100,1182.54,3,2741.05,0,20.0357,245.414,3,2043.31,0,0.142857,7.38367,3,2029.14,0,1.03571,16.3297,3,1968.67,0.0106644,2.19405,119.37,3,2451.94,0,8.29048,150.138,3,
8367.11,0.0536642,100,2089.33,3,2904.5,0.197254,20.0357,431.042,3,2041.54,0.284316,0.142857,12.8063,3,1952.32,0.249292,1.0369,33.939,3,2045.69,0.00135777,2.3869,125.091,3,2526.4,0.119022,7.14405,198.523,3,
5390.17,0,100,1124.09,3,2713.69,0,20.0357,235.961,3,1964.67,0,0.142857,7.782,3,2031.04,0,1.03571,18.7273,3,1424.23,0.00863404,2.0869,104.417,3,2396.38,0,8.65476,129.205,3,
5292.88,0,100,1093.88,3,2653.24,0,20.0357,216.306,3,2007.02,0,0.142857,6.558,3,2027.5,0,1.03571,15.5317,3,1538.82,0.0634067,1.68413,137.038,3,2387.3,0,9.14762,137.947,3,
12121.8,0.353323,100,2465.27,4,3246.11,0.384255,20.0357,438.237,3,2042.51,0.192253,0.142857,17.099,3,1974.84,0.368613,1.0381,29.9963,3,1698.28,0.00576139,2.98333,150.12,3,3269.05,0.330833,9.35952,290.218,4,
16163.9,0.645605,100,3622.91,4,3626.95,0.440154,20.0357,723.457,3,1480.51,0.5029,0.142857,18.7353,3,1596.49,0.453805,1.03889,54.8317,3,1673.26,0.0102934,2.15119,118.086,3,2486.08,0.0907588,8.17778,387.553,3,
8662.16,0.0379074,100,2148.59,3,3116.77,0.083391,20.0357,506.486,3,2305.61,0.450355,0.142857,15.9012,4,2082.43,0.248588,1.04405,48.7567,3,1753.31,0.476706,3.35079,202.918,3,2629.55,0.00414567,9.50833,295.146,3,
9749.67,0.777528,100,2579.25,3,3530.27,0.747347,20.0357,518.619,3,1843.47,0.149826,0.142857,16.099,3,2204.41,0.779247,1.04643,36.269,3,2740.6,0,5.62619,134.63,3,2816.22,0.424092,9.46905,323.602,3,
5594.95,0,100,1166.62,3,2776.34,0,20.0357,236.567,3,2078.33,0,0.142857,5.752,3,2122.66,0,1.03571,19.0477,3,1953.6,0.00162951,2.10833,108.376,3,2493.71,0,7.72619,140.73,3,
12855.4,0.139955,100,2617.08,4,3833.42,0.500344,20.0357,724.987,3,1560.13,0.313881,0.142857,22.4927,3,1779.66,0.366242,1.0373,52.33,3,2565.99,0.229603,2.31607,181.327,4,3043.82,0.483239,9.46349,445.546,3,
8994.08,0.689649,100,2328.29,3,3419.71,0.759079,20.0357,475.416,3,2181.48,0.63947,0.142857,17.657,4,2074.27,0.784367,1.06071,34.6633,3,2635.12,0.00539889,3.05357,136.639,3,2706.15,0.765628,7.59881,238.755,3,
8954.68,0.318562,100,2255.83,3,3490.54,0.286476,20.0357,451.797,3,2131.92,0.336833,0.142857,14.5693,3,2182,0.322811,1.0381,31.261,3,2356.58,0.00656122,2.94206,217.536,3,3067.41,0.312862,9.49643,321.696,3,
9973.56,0.662318,100,2691.61,3,3576.25,0.582691,20.0357,532.232,3,1846.34,0.257792,0.142857,15.427,3,2468.81,0.497696,1.0627,48.616,4,2315,0,1.99286,50.2153,3,3158.83,0.421986,7.22381,288.13,4,
9712.64,0.222232,100,2488.42,3,3710.5,0.378152,20.0357,501.775,3,2760.59,0.603284,0.142857,18.658,4,2140.61,0.0437512,1.03571,37.9383,3,2011.38,0.0098224,2.36667,101.059,3,3044.5,0.402071,9.27976,284.286,3,
16907.5,0.2622,100,3746.7,4,2871.44,0,20.0357,337.281,3,1379.97,0.000608882,0.142857,18.8747,3,1882.95,0,1.05,22.7263,3,1780.54,0.0102569,2.72937,251.379,3,2080.23,0,4.80714,84.0663,3,
8493.14,0.230111,100,2129.81,3,3399.52,0.237092,20.0357,442.115,3,1981.58,0.398088,0.142857,19.4353,3,2097.2,0.054374,1.03571,29.892,3,2235.97,0,2.44524,64.2423,3,2860.52,0.239467,7.48452,263.153,3,
5487.75,0,100,1133.98,3,2761.76,0,20.0357,239.249,3,2049.7,0,0.142857,7.059,3,2076.25,0,1.03571,17.0543,3,1871.1,0.0374728,3.19048,240.554,3,2464,0,8.42619,142.609,3,
5557.44,0,100,1186.72,3,2752.94,0,20.0357,253.964,3,1986.56,0,0.142857,7.99267,3,2009.91,0,1.03571,16.1427,3,1966.86,0.538171,2.16131,159.081,4,2433.73,0,9.19524,153.217,3,
5391.6,0,100,1130.05,3,2694.43,0,20.0357,244.55,3,1962.98,0,0.142857,6.519,3,2007.28,0,1.03571,17.7807,3,1823.69,0.00290926,1.9869,86.6267,3,2425.94,0,8.37857,155.639,3,
8671.22,0.0443851,100,2220.1,3,3548.79,0.0125468,20.0357,461.459,3,1795.13,0.429256,0.142857,20.4218,4,2207.71,0.0152952,1.03571,30.7967,3,2339.85,0.000972956,3.1619,145.25,3,3164.06,0.0195494,11.1631,346.899,3,
9381.2,0.463277,100,2382.26,3,3567.29,0.489594,20.0357,481.099,3,2043.58,0.450601,0.142857,13.8223,3,2177.55,0.481331,1.1369,46.952,3,2743.23,0.00171072,4.1119,191.51,3,3089.23,0.47732,10.644,330.31,3,
5826.23,0,100,1158.93,3,3625.4,0.0021328,20.0357,472.264,3,1866.77,0.249171,0.142857,19.2873,3,2269.43,0,1.28333,26.538,3,2127.8,0.00652548,4.65,189.432,3,2748.47,0,10.8857,173.946,3,
8830.99,0.702174,100,2428.71,3,3107.54,0.737915,20.0357,527.465,3,1534.97,0.838733,0.142857,21.0057,3,1621.84,0.703568,1.04405,33.1207,3,2942.52,0.0959312,3.2381,176.173,4,2139.62,0.696785,6.99643,229.589,3,
5718.09,0,100,1198.72,3,2795.03,0,20.0357,242.522,3,2066.4,0,0.142857,7.989,3,2097.39,0,1.03571,14.733,3,2153.98,0.406658,2.78155,197.902,4,2553.8,0,11.0262,165.68,3,
8942.5,0.153588,100,2367.88,3,3227.68,0.399649,20.0357,443.363,3,1444.7,0.490318,0.142857,18.1793,3,1894.6,0.46552,1.03929,33.0197,3,2178.16,0,1.7,59.3383,3,3815.65,0.760348,8.26131,294.496,5,
17424.3,0.661599,100,2975.19,5,4875.81,0.503369,20.0357,601.848,4,2406.09,0.572708,0.142857,14.719,4,2555.86,0.488176,1.04524,45.3817,4,2764.68,3.08603e-06,5.1,208.62,3,3727.77,0.569576,9.37302,362.4,4,
5555.97,0,100,1170.07,3,2786.05,0,20.0357,247.43,3,2053.26,0,0.142857,12.158,3,2070.02,0,1.03571,17.7197,3,2265.25,0,3.33333,61.0677,3,2517.62,0,9.68095,168.181,3,
9299.51,0.11366,100,2380.35,3,3592.39,0.0187444,20.0357,477.218,3,2084.25,0,0.142857,6.611,3,2687.58,0.193808,1.03889,34.6165,4,2297.51,0,2.32857,50.0707,3,2893.52,0.0381475,9.22262,290.436,3,
5685.17,0,100,1212.34,3,2733.88,0,20.0357,239.543,3,2031.97,0,0.142857,8.453,3,2049.05,0,1.0381,16.5543,3,2016.42,0.0038305,2.8881,140.358,3,2468.03,0,8.53333,153.237,3,
8636.86,0.079237,100,2176.57,3,3459.86,0.0798701,20.0357,465.857,3,2079.92,0.109586,0.142857,17.1493,3,2111.21,0.151095,1.0369,31.645,3,2118.45,0.409585,2.38333,191.855,4,2818.78,0.215777,8.28214,247.001,3,
5470.06,0,100,1114.44,3,2798.58,0,20.0357,239.143,3,2035.82,0,0.142857,8.03167,3,2055.31,0,1.03571,16.6567,3,2010.72,0.0120877,3.27143,138.051,3,2476.54,0,8.19524,142.76,3,
16720,0.51183,100,3800.31,4,2978.55,0,20.0357,277.447,3,2169.76,0,0.142857,7.15533,3,2217.11,0,1.34286,33.1037,3,2729.14,0,8.69524,190.878,3,2632.94,0,9.67381,171.388,3,
5715.82,0,100,1204.26,3,2811.96,0,20.0357,250.176,3,2068.05,0,0.142857,7.95667,3,2098.19,0,1.03571,16.119,3,2285.23,0,2.1881,60.0867,3,2491.9,0,8.95952,150.97,3,
9107.66,0.456411,100,2522.33,3,3200.5,0.590545,20.0357,550.949,3,1653.98,0.429148,0.142857,24.2488,4,1713.73,0.367895,1.0381,34.9543,3,2375.37,0.113849,4.06349,296.185,3,2386.96,0.744036,7.89286,250.43,3,
5436.25,0,100,1107.95,3,2826.41,0,20.0357,257.553,3,2014.58,0,0.142857,6.88467,3,2071.35,0,1.04048,15.5443,3,2407.11,0.000888157,4.14762,184.935,3,2490.36,0,9.29286,153.259,3,
9895.74,0.064296,100,2667.82,3,4187.26,0.140358,20.0357,790.647,3,2095.35,0.153088,0.142857,14.8757,3,1648.51,0.351184,1.04762,54.1693,3,2267.93,0,2.21905,62.497,3,3563.56,0.372302,8.89683,329.673,4,
11295.4,0.273313,100,2298.26,4,2580.94,0,20.0357,212.081,3,1991.67,0,0.142857,8.336,3,1986.81,0.0638559,1.03571,28.4563,3,1648.05,0.000244605,0.711905,36.8547,3,2324.82,0,7.50714,122.341,3,
9283.2,0.398147,100,2397.87,3,3634.36,0.350851,20.0357,505.873,3,2081.5,0.620221,0.142857,13.5623,3,2014.66,0.074045,1.0369,36.8453,3,2331.91,0,3.20238,82.1127,3,2877.69,0.20157,9.38214,310.197,3,
5835.02,0,100,1213.39,3,2821.92,0,20.0357,246.607,3,2049.43,0,0.142857,6.92533,3,2190.26,0.047946,1.03571,34.9517,3,2731.46,0.206002,3.81905,216.656,4,3275.82,0.248523,12.0131,372.443,3,
5427.07,0,100,1102.89,3,2801.28,0,20.0357,230.988,3,2429.06,0.550576,0.142857,14.9715,4,2090.36,0,1.03571,15.4447,3,2187.19,0.00245025,1.875,103.804,3,2497.74,0,10.6857,155.542,3,
11651.1,0.387464,100,3413.73,3,3008.11,0.265989,20.0357,501.731,3,1519.35,0.474842,0.142857,21.39,3,1890.15,0.526801,1.03929,31.9267,3,2187.45,0,2.74048,60.1963,3,3028.08,0.501742,6.94127,254.456,4,
12301.9,0.0833954,100,2514.69,4,3425.5,0.228323,20.0357,444.776,3,1921.47,0.0455115,0.142857,12.9933,3,2040.12,0,1.03571,14.6523,3,2268.87,0,2.41667,60.5253,3,2740.73,0.1297,7.55476,255.337,3,
12434.7,0.615767,100,3743.85,3,3086.72,0.636289,20.0357,510.608,3,1535.93,0.880051,0.142857,17.5507,3,2199.93,0.808121,1.04286,39.3042,4,2781.15,0.638009,2.3119,132.922,5,2420.33,0.611363,8.94881,296.225,3,
12797.6,0.676163,100,3813.01,3,3541.39,0.501166,20.0357,557.636,3,1523.78,0.752762,0.142857,20.0073,3,2000.14,0.648363,1.03571,37.1073,3,2336.45,0,2.89762,74.9573,3,2586.31,0.217972,8.0381,292.736,3,
5494.67,0,100,1137.72,3,2723.46,0,20.0357,233.843,3,2027.26,0,0.142857,11.4897,3,2064.83,0,1.03571,16.2957,3,1783.29,0.00241737,1.30952,77.8663,3,2491.13,0,10.3881,160.653,3,
5619.89,0,100,1174.43,3,2812.72,0,20.0357,248.436,3,2085.33,0,0.142857,7.59533,3,2113.15,0,1.03571,18.3387,3,2270.74,7.14262e-05,2.83929,134.815,3,2536.36,0,10.0167,163.369,3,
9315.37,0.557688,100,2491.93,3,3431,0.582203,20.0357,530.306,3,1598.84,0.107336,0.142857,15.0423,3,1573.21,0.58392,1.03571,37.4183,3,2194.87,0,1.55476,41.732,3,2667.05,0.584575,7.7381,312.296,3,
9058.12,0.572328,100,2283.37,3,3451.77,0.876752,20.0357,478.61,3,2285.14,0.703046,0.142857,16.7895,4,1933.17,0.117699,1.15833,45.5053,3,2217.87,0.0155123,5.42381,199.403,3,2711.3,0.647747,9.14643,290.67,3,
12108.3,0.425828,100,3588.37,3,4149.04,0.710682,20.0357,534.973,4,1352.58,0.764636,0.142857,28.7097,3,2206.95,0.350585,1.11111,50.0373,4,2669.42,0.147856,4.05159,220.407,4,2450.1,0.340875,7.83452,329.711,3,
5538.37,0,100,1168.47,3,2694.26,0,20.0357,230.106,3,2007.86,0,0.142857,6.33,3,2038.6,0,1.03571,16.046,3,1952.16,0.0101793,2.15357,127.044,3,2463.02,0,8.46667,155.594,3,
5247.13,0,100,1086.84,3,2649.89,0,20.0357,240.215,3,1946.39,0,0.142857,9.08933,3,1973.98,0,1.03571,17.165,3,1900.71,0.000465814,2.22262,111.431,3,2418.95,0,8.77857,155.547,3,
11936.3,0.355632,100,3392.08,3,4309.73,0.379167,20.0357,517.291,4,1866.61,0.186601,0.142857,16.2833,3,1586.73,0.369158,1.06587,51.0013,3,2371.09,0.202043,4.40079,298.17,3,2607.01,0.40752,8.24167,257.536,3,
5525.44,0,100,1157.76,3,2723.82,0,20.0357,241.327,3,2001.85,0,0.142857,11.9703,3,2045.76,0,1.03571,18.0927,3,1944.78,0.0174909,2.85,123.951,3,2810.83,0.13182,7.52738,265.721,3,
11256.4,0.533601,100,3272.3,3,4067.67,0.446592,20.0357,506.9,4,1755.31,0.0921393,0.142857,12.909,3,2157.45,0.40615,1.03571,38.0255,4,2149.61,0,1.9,54.3617,3,2628.07,0.0505554,8.75952,265.053,3,
9298.52,0.380185,100,2380.55,3,3509.05,0.0298338,20.0357,502.925,3,2121.83,0.231637,0.142857,15.432,3,2038.84,0.272355,1.04048,37.3497,3,2076.92,0.00137766,3.49881,155.161,3,2858.84,0.0815707,9.95357,306.378,3,
16139.5,0.107869,100,2721.7,5,3779.92,0.0197675,20.0357,731.164,3,2781.47,0.603486,0.142857,18.1394,5,2104.87,0.0400477,1.0369,32.6713,3,2218.09,0,1.86905,60.872,3,2814.86,0.0307869,7.17262,268.081,3,
12407.3,0.603093,100,3707.02,3,3276.05,0.364747,20.0357,570.719,3,1629.44,0.526229,0.142857,19.2817,3,1418.86,0.362902,1.04762,54.2523,3,2334.8,0,2.84524,78.5703,3,3290.66,0.265306,8.37976,407.749,4,
5519.6,0,100,1203.28,3,3653.09,0.0616333,20.0357,574.211,3,1878.65,0.189892,0.142857,16.466,3,2066.85,0.0731043,1.03571,35.224,3,2189.76,0,3.09286,68.4637,3,2373.2,0.345923,6.45595,246.751,3,
5415.25,0,100,1141.81,3,2700.82,0,20.0357,242.054,3,1986.28,0,0.142857,6.766,3,2015.82,0,1.03571,16.5647,3,1843.33,0.0128248,1.94881,93.9,3,2356.45,0,7.7619,136.031,3,
8842.94,0.322633,100,2420.62,3,2730.27,0,20.0357,250.094,3,1894.34,0,0.142857,10.304,3,1979.21,0,1.03571,16.8977,3,2785.15,0,13.3429,263.398,3,1208.19,0,8.56429,234.16,2,
5537.32,0,100,1170.06,3,2737.48,0,20.0357,248.151,3,2003.99,0,0.142857,6.69233,3,2048.49,0,1.03571,16.6853,3,1946.11,0.00278594,1.72619,111.928,3,2368.93,0,5.76905,124.122,3,
5429.06,0,100,1155.64,3,2683.76,0,20.0357,244.399,3,1903.24,0.0599876,0.142857,13.326,3,1983.21,0,1.03571,16.4163,3,1832.35,0.553226,1.59524,127.022,4,2365.81,0,6.55,142.063,3,
11909.6,0.14401,100,3512.15,3,4802.55,0.271697,20.0357,739.498,4,1818.98,0.0898678,0.142857,15.8163,3,1598.79,0.313076,1.03968,49.9497,3,2162.28,0.255763,2.62976,207.716,4,3751.75,0.219644,8.43413,327.75,4,
8513.88,0.16048,100,2191.91,3,3219,0.117858,20.0357,447.703,3,1941.74,0.43424,0.142857,16.4207,3,1988.15,0.397646,1.12143,41.342,3,3806.98,0.230273,4.95905,325.843,5,2596.93,0.271606,7.4369,246.061,3,
8494.46,0.733883,100,2324.16,3,4243.88,0.756068,20.0357,526.842,4,1963.17,0,0.142857,9.05333,3,1597.43,0.624517,1.05357,37.1213,3,1847.93,0.0670082,2.98175,207.734,3,2372.22,0,7.12857,125.791,3,
8499.61,0.303915,100,2289.72,3,3383.2,0.675873,20.0357,478.905,3,1913.33,0.648662,0.142857,15.2693,3,2002.83,0.691624,1.03571,30.8327,3,2164.17,0,1.45476,53.669,3,2499.37,0.104227,6.25833,250.675,3,
7817.73,0.2217,100,2162.34,3,3972.93,0.362368,20.0357,513.083,4,1982.22,0.368088,0.142857,16.256,4,1507.94,0.199588,1.03571,32.27,3,1579.15,0.580001,2.22937,177.273,3,3094.19,0.281412,7.71111,245.111,4,
5506.21,0,100,1140.71,3,2828.13,0,20.0357,253.011,3,2069.65,0,0.142857,6.44733,3,2090.71,0,1.03571,14.7993,3,2324.2,0,2.45476,75.1217,3,2528.33,0,8.82143,158.174,3,
12904.7,0.656354,100,3901.15,3,2743.07,0.617158,20.0357,517.755,3,1765.3,0.775333,0.142857,14.1597,3,1962.19,0.924497,1.0369,36.764,3,2355.7,0.00303739,5.75595,231.16,3,2707.32,0.384761,8.79683,429.644,3,
13007.4,0.284574,100,2583.62,4,3566.3,0.123615,20.0357,473.463,3,2070.01,0.0738305,0.142857,14.6153,3,2181.97,0.153833,1.0369,33.2433,3,2340.7,0,3.23333,77.501,3,2813.05,0.079846,10.1512,319.693,3,
3753.65,1,100,3596.54,1,2895.98,0,20.0357,252.012,3,1943.75,0,0.142857,7.266,3,2139.88,0.00287096,1.03571,37.3507,3,2356.42,0.000622836,2.67262,145.253,3,2615.04,0,10.4,158.501,3,
9503.29,0.0252345,100,2410.83,3,3673.8,0.126667,20.0357,498.812,3,2071.17,0.452416,0.142857,19.1393,3,2241.45,0.13754,1.03571,36.8197,3,2675.98,0.0069285,4.89048,209.489,3,3109.17,0.081636,10.7417,317.59,3,
8560.97,0.165881,100,2185.18,3,4349.75,0.263246,20.0357,514.605,4,1993.69,0,0.142857,7.82433,3,1993.25,0.265768,1.0369,30.4713,3,2161.16,0,2.17857,55.4063,3,2588.46,0.0262624,5.02143,223.356,3,
5301.15,0,100,1087.06,3,2677.79,0,20.0357,220.76,3,1983.92,0,0.142857,6.507,3,2036.73,0,1.03571,13.817,3,2213.83,0,2.7,63.3383,3,2438.83,0,10.2976,147.157,3,
5448.83,0,100,1159.19,3,2675.39,0,20.0357,238.532,3,1986.41,0,0.142857,7.60533,3,2010.27,0,1.03571,19.4643,3,1867.16,0.0872525,1.8619,135.886,4,2370,0,6.58571,138.4,3,
10705.8,0.308531,100,3102.59,3,3281.38,0.324105,20.0357,632.475,3,1401.14,0.432937,0.142857,20.105,3,1517.64,0.382307,1.03889,47.2757,3,2030.42,0,1.13571,30.303,3,3638.23,0.44868,7.90357,255.772,5,
5680.25,0,100,1180.73,3,2855.48,0,20.0357,259.728,3,2278.83,0.727043,0.142857,16.8148,4,1449.35,0.480914,1.05,64.428,3,2346.83,0,3.57143,96.9543,3,2128.69,0.0454261,6.82857,222.35,3,
5073.54,0,100,1018.75,3,2658.59,0,20.0357,220.866,3,2057.33,0.149655,0.142857,12.3757,3,2051.97,0,1.03571,19.7697,3,2124.69,0,1.55714,41.7197,3,2515.19,0.0365161,6.06548,235.796,3,
